Unique_Patient_Identifier	gene	copy
TCGA-W5-AA34	GJB3	del
TCGA-W5-AA34	GJA4	del
TCGA-W5-AA34	DLGAP3	del
TCGA-W5-AA34	TMEM35B	del
TCGA-W5-AA34	ZMYM6	del
TCGA-W5-AA34	ZMYM1	del
TCGA-W5-AA34	SFPQ	del
TCGA-W5-AA34	ZMYM4	del
TCGA-W5-AA34	KIAA0319L	del
TCGA-W5-AA34	NCDN	del
TCGA-W5-AA34	TFAP2E	del
TCGA-W5-AA34	PSMB2	del
TCGA-W5-AA34	C1orf216	del
TCGA-W5-AA34	CLSPN	del
TCGA-W5-AA34	AGO4	del
TCGA-W5-AA34	AGO1	del
TCGA-W5-AA34	AGO3	del
TCGA-W5-AA34	TEKT2	amp
TCGA-W5-AA34	ADPRS	amp
TCGA-W5-AA34	COL8A2	amp
TCGA-W5-AA34	TRAPPC3	amp
TCGA-W5-AA34	MAP7D1	amp
TCGA-W5-AA34	THRAP3	amp
TCGA-W5-AA34	SH3D21	amp
TCGA-W5-AA34	EVA1B	amp
TCGA-W5-AA34	STK40	amp
TCGA-W5-AA34	LSM10	amp
TCGA-W5-AA34	OSCP1	amp
TCGA-W5-AA34	MRPS15	amp
TCGA-W5-AA34	CSF3R	amp
TCGA-W5-AA34	GRIK3	amp
TCGA-W5-AA34	ZC3H12A	amp
TCGA-W5-AA34	MEAF6	amp
TCGA-W5-AA34	SNIP1	amp
TCGA-W5-AA34	DNALI1	amp
TCGA-W5-AA34	GNL2	amp
TCGA-W5-AA34	RSPO1	amp
TCGA-W5-AA34	CDCA8	amp
TCGA-W5-AA34	EPHA10	amp
TCGA-W5-AA34	MANEAL	amp
TCGA-W5-AA34	YRDC	amp
TCGA-W5-AA34	C1orf122	amp
TCGA-W5-AA34	MTF1	amp
TCGA-W5-AA34	INPP5B	amp
TCGA-W5-AA34	SF3A3	amp
TCGA-W5-AA34	FHL3	amp
TCGA-W5-AA34	UTP11	amp
TCGA-W5-AA34	POU3F1	amp
TCGA-W5-AA34	RRAGC	amp
TCGA-W5-AA34	MYCBP	amp
TCGA-W5-AA34	GJA9	amp
TCGA-W5-AA34	RHBDL2	amp
TCGA-W5-AA34	AKIRIN1	amp
TCGA-W5-AA34	NDUFS5	amp
TCGA-W5-AA34	MACF1	amp
TCGA-W5-AA34	BMP8A	amp
TCGA-W5-AA34	PABPC4	amp
TCGA-W5-AA34	HEYL	amp
TCGA-W5-AA34	NT5C1A	amp
TCGA-W5-AA34	HPCAL4	amp
TCGA-W5-AA34	PPIE	amp
TCGA-W5-AA34	BMP8B	amp
TCGA-W5-AA34	OXCT2	amp
TCGA-W5-AA34	TRIT1	amp
TCGA-W5-AA34	MYCL	amp
TCGA-W5-AA34	MFSD2A	amp
TCGA-W5-AA34	CAP1	amp
TCGA-W5-AA34	PPT1	amp
TCGA-W5-AA34	RLF	amp
TCGA-W5-AA34	TMCO2	amp
TCGA-W5-AA34	ZMPSTE24	amp
TCGA-W5-AA34	COL9A2	amp
TCGA-W5-AA34	SMAP2	amp
TCGA-W5-AA34	ZFP69B	amp
TCGA-W5-AA34	ZFP69	amp
TCGA-W5-AA34	EXO5	amp
TCGA-W5-AA34	ZNF684	amp
TCGA-W5-AA34	RIMS3	amp
TCGA-W5-AA34	NFYC	amp
TCGA-W5-AA34	KCNQ4	amp
TCGA-W5-AA34	CITED4	amp
TCGA-W5-AA34	CTPS1	amp
TCGA-W5-AA34	SLFNL1	amp
TCGA-W5-AA34	SCMH1	amp
TCGA-W5-AA34	FOXO6	amp
TCGA-W5-AA34	EDN2	amp
TCGA-W5-AA34	HIVEP3	amp
TCGA-W5-AA34	GUCA2B	amp
TCGA-W5-AA34	GUCA2A	amp
TCGA-W5-AA34	FOXJ3	amp
TCGA-W5-AA34	RIMKLA	amp
TCGA-W5-AA34	ZMYND12	amp
TCGA-W5-AA34	PPCS	amp
TCGA-W5-AA34	CCDC30	amp
TCGA-W5-AA34	PPIH	amp
TCGA-W5-AA34	YBX1	amp
TCGA-W5-AA34	CLDN19	amp
TCGA-W5-AA34	P3H1	amp
TCGA-W5-AA34	C1orf50	amp
TCGA-W5-AA34	TMEM269	amp
TCGA-W5-AA34	SVBP	amp
TCGA-W5-AA34	ERMAP	amp
TCGA-W5-AA34	ZNF691	amp
TCGA-W5-AA34	SLC2A1	amp
TCGA-W5-AA34	EBNA1BP2	amp
TCGA-W5-AA34	CFAP57	amp
TCGA-W5-AA34	TMEM125	amp
TCGA-W5-AA34	C1orf210	amp
TCGA-W5-AA34	TIE1	amp
TCGA-W5-AA34	MPL	amp
TCGA-W5-AA34	CDC20	amp
TCGA-W5-AA34	ELOVL1	amp
TCGA-W5-AA34	MED8	amp
TCGA-W5-AA34	SZT2	amp
TCGA-W5-AA34	HYI	amp
TCGA-W5-AA34	PTPRF	amp
TCGA-W5-AA34	KDM4A	amp
TCGA-W5-AA34	ST3GAL3	amp
TCGA-W5-AA34	ARTN	amp
TCGA-W5-AA34	IPO13	amp
TCGA-W5-AA34	DPH2	amp
TCGA-W5-AA34	ATP6V0B	amp
TCGA-W5-AA34	B4GALT2	amp
TCGA-W5-AA34	CCDC24	amp
TCGA-W5-AA34	SLC6A9	amp
TCGA-W5-AA34	KLF17	amp
TCGA-W5-AA34	KLF18	amp
TCGA-W5-AA34	DMAP1	amp
TCGA-W5-AA34	ERI3	amp
TCGA-W5-AA34	RNF220	amp
TCGA-W5-AA34	TMEM53	amp
TCGA-W5-AA34	ARMH1	amp
TCGA-W5-AA34	KIF2C	amp
TCGA-W5-AA34	RPS8	amp
TCGA-W5-AA34	BEST4	amp
TCGA-W5-AA34	PLK3	amp
TCGA-W5-AA34	BTBD19	amp
TCGA-W5-AA34	PTCH2	amp
TCGA-W5-AA34	EIF2B3	amp
TCGA-W5-AA34	HECTD3	amp
TCGA-W5-AA34	UROD	amp
TCGA-W5-AA34	ZSWIM5	amp
TCGA-W5-AA34	HPDL	amp
TCGA-W5-AA34	MUTYH	amp
TCGA-W5-AA34	TOE1	amp
TCGA-W5-AA34	TESK2	amp
TCGA-W5-AA34	CCDC163	amp
TCGA-W5-AA34	MMACHC	amp
TCGA-W5-AA34	PRDX1	amp
TCGA-W5-AA34	AKR1A1	amp
TCGA-W5-AA34	NASP	amp
TCGA-W5-AA34	CCDC17	amp
TCGA-W5-AA34	GPBP1L1	amp
TCGA-W5-AA34	TMEM69	amp
TCGA-W5-AA34	IPP	amp
TCGA-W5-AA34	MAST2	amp
TCGA-W5-AA34	PIK3R3	amp
TCGA-W5-AA34	P3R3URF-PIK3R3	amp
TCGA-W5-AA34	TSPAN1	amp
TCGA-W5-AA34	P3R3URF	amp
TCGA-W5-AA34	POMGNT1	amp
TCGA-W5-AA34	LURAP1	amp
TCGA-W5-AA34	RAD54L	amp
TCGA-W5-AA34	LRRC41	amp
TCGA-W5-AA34	UQCRH	amp
TCGA-W5-AA34	NSUN4	amp
TCGA-W5-AA34	FAAH	amp
TCGA-W5-AA34	DMBX1	amp
TCGA-W5-AA34	TMEM275	amp
TCGA-W5-AA34	KNCN	amp
TCGA-W5-AA34	MKNK1	amp
TCGA-W5-AA34	MOB3C	amp
