variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
pw.167,pw.195,975.82022967095,634.266259785958,0.001,3775.58155590526,0.97147266136595,0.801054506115886,0.157607446709356,4.86776076095898,2.0054996040529,2.42720604438004,950.071713531606,723.803655311012,32,29,5,599,665,694.157780231488,1325.03045585129,430.481288228802,894.079743753258,,5270.78277218755,1320.3769339339,8521.87660128127
pw.167,pw.3059,928.514761635669,681.007495978624,1555.97276642893,1728.81956853796,0.985665669487036,0.945984520902226,0.355657104736109,4.90864054276473,2.56156108656576,1.91626917214989,950.071713526655,710.188543117247,32,39,5,589,665,648.669874020156,1277.41238322817,490.579880123746,914.736173739222,,5846.0070309568,,5114.18284092158
pw.167,pw.1551,986.197250149784,531.541514900565,0.001,8122.90771843355,0.967184669529679,0.557702925614592,2.19039134867564e-06,13.2780587972648,3.10501475981357,4.27632711094168,950.071713532459,708.277466439452,23,39,14,589,665,701.502129736738,1339.09424639764,381.631970773244,716.398936937655,,5285.89315461436,4289.17293958998,14585.8790868683
pw.3070,pw.1121,724.820126422217,888.997557033354,6881.72634215923,0.001,0.611864720213581,0.929242275321838,0.00920180272730459,7.35369556721402,2.14903813263032,3.42185438943954,878.780039464628,866.505129200355,29,29,7,600,665,491.952154730192,1021.64260646401,629.256333445223,1211.99475323108,2878.51565385035,13968.2699475226,,5386.21163573816
pw.3070,pw.1563,580.431867830759,856.02045825744,8951.40204219501,0.001,0.735016732653231,0.941509861475795,5.92858556100267e-06,13.0452939000883,3.08343165796357,4.23077121440207,878.780039457213,838.722259309361,23,38,13,591,665,374.359671861084,851.156388959619,641.981237934807,1113.12479856773,4756.69547735822,15583.1872145439,,5292.83366543431
pw.3070,pw.2642,571.437797286142,852.965482146661,15770.3993358523,0.001,0.17852021891685,0.88446437376139,1.42640067673769e-08,14.1151578777106,2.24996731311203,6.27349463943421,878.780039454294,835.34169110529,23,23,13,606,665,368.553400402377,837.894715836832,603.763151252061,1162.87610945268,8188.2313029763,28548.1346514761,,6424.56261642361
pw.3070,pw.1866,672.155010194254,841.327779126445,10457.3905839271,0.001,0.10823563119035,0.778781733186991,9.15069628047781e-05,10.8957081279806,2.30865106737596,4.719512741423,878.780039462963,820.115294491722,27,28,9,601,665,449.412476325523,958.60807304664,598.479436074246,1142.42334261233,4844.54187451187,20074.8115633665,,4223.19028503393
pw.3070,pw.735,581.014757713395,832.645572611683,8676.34829020682,0.001,0.371506293804974,0.90558654393779,7.27336170736968e-06,14.2988671404259,3.48053849108298,4.1082341646441,878.780039460566,816.069090545375,23,43,13,586,665,374.715498244902,851.95436461871,633.073601453097,1070.37046005519,4625.73146743481,15003.1278413341,,4605.4957133459
pw.3070,pw.686,724.207640964617,803.503387522677,5198.66750063274,2054.98533661364,0.74545129364453,0.973170706909652,0.000885572281451242,10.0560066122497,2.86415727969813,3.51098268364283,878.78003945403,833.917088133451,26,36,10,593,665,482.646742203466,1033.74672923725,581.868143415528,1073.29396091206,1707.36059554726,10909.7007090404,,7411.79027902402
pw.3070,pw.1211,673.748558106335,789.838217234243,5983.72928875111,1080.99136419816,0.442215566677498,0.997003303034897,0.000404234921695367,12.5190925478665,3.60949151603963,3.46838120888633,878.780039459666,795.588431397088,25,47,11,582,665,443.658339378273,971.617329429983,598.611821105511,1017.10523917547,2614.1466017649,11322.2299874694,,5627.53952886563
pw.3070,pw.444,698.57141912961,803.171438117918,8247.59367101303,0.001,0.433259335501896,0.958724289751165,0.00147299857221791,9.23609008021422,2.34199541401533,3.94368410157518,878.780039455481,785.018880601409,28,31,8,598,665,470.69824850331,990.299506127803,576.703904850291,1082.38456966156,3653.94895020043,16199.5060770315,,5388.93572853192
pw.3070,pw.1622,572.514009585692,790.4799272305,14464.993374838,0.001,0.204045941851589,0.907331149426949,2.91643219685788e-08,14.8475405282062,2.45955024646284,6.03668924819039,878.780039459288,775.994889438377,23,29,13,600,665,369.243086647275,839.459554418541,574.840592308519,1054.31067631265,7621.67505060796,25515.5142742411,,6136.21301589136
pw.3070,pw.1114,784.737958684408,699.302759548211,4479.92141487692,3812.10213627691,0.834402916712688,0.845139685015494,0.000572005302130007,9.69208486699925,2.36794361610005,4.09303870290709,878.780039451747,772.346404306156,27,29,9,600,665,531.830879426627,1103.56031251399,481.252242061632,971.85717017785,305.011489344955,11625.2774868379,128.580949379122,10097.619215019
pw.3070,pw.185,724.991940518667,788.147693246072,6789.99212945143,0.001,0.559356456777682,0.923795585904169,0.0103832734450019,7.31251451934424,2.17083466585253,3.36852669361278,878.780039457475,767.246223319118,29,28,7,601,665,492.073844276897,1021.91482631719,554.969563876149,1079.02747111277,2818.00216932863,13989.3743518012,,4572.85324087401
pw.3070,pw.2062,725.709725919394,771.571645107988,6518.24315118763,0.001,0.311167930959649,0.852960557248033,0.0109362446571825,8.01181615514729,2.470072399968,3.24355519103451,878.780039451837,749.766282128019,29,31,7,598,665,492.565111396432,1022.91649767334,551.455782195112,1043.73014254263,2726.50780760964,13226.1111826248,,3727.01476327441
