variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A,fdr
pw.1779.tgs,pw.1716,521.172011701293,621.317502509045,0.001,4595.29781223236,0.861406825488887,0.362121124896144,0.0280217014121025,7.34340564219874,2.64402782518891,2.77735565875675,504.542110430291,744.498289789959,33,30,7,595,665,375.838734348086,699.910618311619,424.619287684211,871.073028586656,,2191.00503951478,1923.40018529553,9311.16771354439,0.0315244140886153
pw.1779.tgs,pw.3059,522.774669520016,563.987815651084,0.001,5560.76565171211,0.80642824984141,0.32494523904892,0.00113308551684301,10.243966554303,3.1119094915584,3.2918587709866,504.542110431072,710.188543120845,30,34,10,591,665,376.99186600756,702.071275413652,394.977361959197,775.50556566755,,2071.75412642849,2690.73858840016,10340.4226953836,0.00270553072389045
pw.1364.tgs,pw.2808.tgs,423.66933405455,384.791693258362,883.552099125538,2659.31764336428,0.984193284691589,0.705165825957289,2.81079766121369e-05,16.1725590512011,4.82265502529642,3.35345550663911,440.580405473176,439.047230848856,41,67,16,915,1039,316.115647992892,552.054109210938,300.372038301053,483.530745338035,,2719.09413836303,1201.36572404644,4850.54420680505,0.000220402877822153
pw.1364.tgs,pw.457.tgs,379.051023404667,410.964215707118,3073.08332909376,0.001,0.625336696551507,0.950907210874909,0.0058032855038379,9.33222884759948,2.95138083441418,3.16198734462943,440.580405475524,400.052610192235,48,41,9,941,1039,281.665690066815,496.663305541501,307.305456905933,535.678228332353,1446.74870594742,5730.90693942325,,1985.89087409795,0.00896349048117537
pw.1364.tgs,pw.2179.tgs,451.099677338754,337.913359192542,0.001,3310.55894906923,0.979128648530542,0.639306834655635,0.000550926129746898,11.0084456892984,3.08116432455598,3.57282005427764,440.580405476496,416.077225183262,46,42,11,940,1039,343.876824100242,578.607910664128,245.743094713995,450.705088117101,,2342.29473668197,1682.9520114032,5863.55889079536,0.00157816771867332
pw.1364.tgs,pw.1052.tgs,329.986988004412,410.513853962096,2937.13417205741,0.001,0.35238023585883,0.865594006383522,8.43060587889293e-05,16.9326702906562,5.51879368432164,3.06818324061657,440.580405472072,401.010614242288,41,79,16,903,1039,238.993015745189,441.59442709472,333.359755736231,498.76231775593,1696.06832377677,4726.58438980673,,1357.78980498478,0.000474344043719653
pw.1364.tgs,pw.2237.tgs,444.695847079248,336.731442239807,322.405466290829,2319.89166678549,0.998389234842459,0.596359383062579,0.00169157098891991,12.0867779918814,4.07555711479414,2.96567503569187,440.580405473611,387.92552154872,45,58,12,924,1039,336.619952083504,573.272424129922,257.391175808154,430.878507748144,,2137.02765153567,1101.15114460706,4208.98048504284,0.00365263771542181
pw.1364.tgs,pw.2146.tgs,400.563313619587,343.650298127724,1820.64933722455,1568.09026587155,0.862695608459011,0.860724566178439,0.00013599147666002,13.3446397188777,3.75360515679273,3.55515275620519,440.580405464963,373.21811552396,44,51,13,931,1039,296.529437989939,525.610597322943,259.946929964093,443.078153753128,298.247969450712,4123.22145520826,251.501252990468,3586.63029702201,0.000662958448717598
pw.1364.tgs,pw.1438.tgs,401.298406186466,300.307184748514,1549.20306639253,1492.32474607665,0.888254148568974,0.812553996050418,5.25692176759035e-05,15.2414253252631,4.49844163838686,3.38815673303449,440.580405470325,329.062811786612,42,61,15,921,1039,296.280406106257,527.467913004943,232.487625618777,379.828983148839,197.686070397433,3534.63198956639,412.656369282017,3122.55300143936,0.000341699914893373
pw.1364.tgs,pw.1750.tgs,452.689511396721,288.10928475051,0.001,2205.97138337422,0.968234610674797,0.684740378422156,0.00538334561149104,9.93830338495427,3.34341448723484,2.97250114303767,440.580405473641,340.542752326416,47,47,10,935,1039,345.086281672331,580.650325068846,213.381934572077,378.535813431942,,1992.76889589201,1084.13860353387,3991.88216302388,0.00837981954171079
pw.1364.tgs,pw.1455.tgs,408.789726516199,247.549709071528,1421.69907282037,639.121822398628,0.91125630684862,0.961218514128755,0.0165277793011621,10.2942100483602,3.97355654767605,2.59067913715254,440.580405473281,257.613926580804,47,58,10,924,1039,304.377064991431,534.182344758724,190.505682072725,314.723135337835,232.083850091308,3295.69251483239,,1744.03602415128,0.0202486929658216
pw.1364.tgs,pw.1320,291.344051169755,1046.69114643309,6438.46114124588,0.001,0.4084930380877,0.957780154111819,1.36517706148708e-07,13.5023689105982,2.39580393206455,5.63584053347919,446.137469909398,1025.11435266391,23,28,13,601,665,187.901148394584,427.193022185734,758.063194687974,1400.70909679814,3396.09146530803,11337.1736530925,,8341.64464215836,5.62212769307991e-06
pw.1364.tgs,pw.3070,393.332352638989,743.992339158968,2909.5014247762,7092.407905683,0.825360364004476,0.747510309661198,3.16482785011494e-06,11.898077214698,2.17590657265517,5.46810114194346,446.137469912525,878.780039460164,25,25,11,604,665,265.046290892848,555.199749373266,496.860399604036,1058.11782435299,130.907311318061,7522.00722116669,1441.54840548324,16522.969546807,4.6285607307931e-05
pw.1364.tgs,pw.1121,355.391209089955,889.403926902465,3829.06724370517,0.001,0.60630167491427,0.982911892160613,0.00263847050922498,8.00553405577321,2.13408283531514,3.75127615634049,446.137469909707,866.50512919168,28,28,8,601,665,239.470548035593,503.833535270802,629.559005051593,1212.56304537902,1698.86323673873,7499.72848754061,,5838.28873697175,0.00480468559656533
pw.1364.tgs,pw.1563,320.688833960997,858.236754034094,3737.18334498835,0.001,0.546017396585091,0.93612710404618,0.000237360494700861,11.1866728089139,3.03477622658451,3.68616068325536,446.137469910442,838.72225930409,25,40,11,589,665,210.821865506258,463.395322240025,643.630728097252,1116.00055606007,1890.42188471566,6676.36361707099,,4652.914892035,0.000989150227819333
